mtime,stream_id,D,G,H,J,Q,R,U,V,W,X
2021-11-01T00:00,12,16944,0,0,0,0,0,0,7457,0,23593
2021-11-01T00:00,13,0,0,0,0,0,0,0,17556,0,0
2021-11-01T00:00,14,0,0,0,0,0,0,9365,0,0,0
2021-11-01T00:00,15,0,0,0,0,5562,0,0,0,0,0
2021-11-01T00:00,16,0,0,20333,0,15073,13521,16967,0,0,0
2021-11-01T00:00,17,0,0,0,0,10364,0,0,0,0,0
2021-11-01T00:00,18,6797,0,0,1330,0,0,9253,0,0,0
2021-11-01T00:00,19,2308,0,0,3869,0,24893,0,0,0,0
2021-11-01T00:00,23,24366,0,0,0,0,404,0,0,0,0
2021-11-01T00:00,24,1174,0,0,12605,0,0,0,0,0,0
2021-11-01T00:00,25,0,0,0,0,7376,5653,0,0,0,12248
2021-11-01T00:00,26,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,27,0,0,0,22802,0,0,0,0,0,0
2021-11-01T00:00,28,0,0,0,5567,0,0,12959,0,0,0
2021-11-01T00:00,29,0,23099,0,4380,0,0,0,21531,0,0
2021-11-01T00:00,34,0,0,0,0,0,2179,0,0,0,0
2021-11-01T00:00,35,0,0,20407,0,2853,1276,0,0,0,0
2021-11-01T00:00,36,0,0,0,24425,0,0,7678,0,0,0
2021-11-01T00:00,37,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,38,0,0,0,0,0,0,21614,0,0,0
2021-11-01T00:00,39,22875,0,0,0,9327,0,0,0,10313,21332
2021-11-01T00:00,45,5137,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,46,42,0,0,0,15200,9654,0,0,0,0
2021-11-01T00:00,47,0,0,4209,0,0,0,0,22024,0,0
2021-11-01T00:00,48,0,15759,0,23880,0,0,0,0,19232,0
2021-11-01T00:00,49,0,660,0,0,21321,0,0,0,0,0
2021-11-01T00:00,56,14878,0,0,10712,19400,0,22209,20438,0,0
2021-11-01T00:00,57,0,0,0,9491,0,0,24305,0,0,0
2021-11-01T00:00,58,0,0,0,0,0,0,0,0,4787,24958
2021-11-01T00:00,59,0,0,8624,20889,0,0,0,24234,18610,10391
2021-11-01T00:00,67,3257,0,0,0,0,20311,0,0,0,0
2021-11-01T00:00,68,0,0,0,0,0,0,0,0,1505,0
2021-11-01T00:00,69,0,0,0,0,0,0,18184,0,0,0
2021-11-01T00:00,78,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,79,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,89,16215,0,0,0,22996,3593,0,0,0,24882
2021-11-01T00:00,A1,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,A2,0,14788,22171,0,0,0,0,0,0,0
2021-11-01T00:00,A3,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,A4,0,0,0,0,0,6969,0,0,0,0
2021-11-01T00:00,A5,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,A6,10144,20674,0,0,0,7603,0,0,0,0
2021-11-01T00:00,A7,0,13889,0,2632,0,0,0,0,24328,0
2021-11-01T00:00,A8,19431,0,0,0,0,11410,0,0,9936,0
2021-11-01T00:00,A9,4168,15459,0,0,0,9151,16893,0,0,0
2021-11-01T00:00,AB,0,3078,0,0,0,0,5766,24547,0,0
2021-11-01T00:00,AC,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,AD,1482,15136,0,0,0,20530,16641,0,7774,0
2021-11-01T00:00,AE,0,4702,0,0,0,0,0,18436,0,0
2021-11-01T00:00,AF,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,AG,0,0,0,0,0,0,0,10524,0,0
2021-11-01T00:00,AH,0,0,0,0,0,5481,0,18214,0,18354
2021-11-01T00:00,AI,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,AJ,0,0,0,0,0,24614,0,0,0,0
2021-11-01T00:00,AK,0,0,0,0,1954,0,0,0,0,0
2021-11-01T00:00,AL,9504,0,0,0,0,0,0,0,0,481
2021-11-01T00:00,AM,0,0,22271,0,0,0,0,20940,21690,0
2021-11-01T00:00,AN,0,0,0,0,0,0,0,0,22937,0
2021-11-01T00:00,AO,0,0,0,0,0,0,0,3831,0,0
2021-11-01T00:00,AP,0,0,0,0,0,10552,0,0,10351,0
2021-11-01T00:00,AQ,0,0,0,0,0,0,0,0,0,19187
2021-11-01T00:00,AR,0,0,0,0,0,11375,0,0,0,0
2021-11-01T00:00,AS,21948,0,0,12671,0,0,0,0,0,22122
2021-11-01T00:00,AT,0,0,0,0,0,10247,0,0,10218,0
2021-11-01T00:00,AU,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,AV,15961,0,0,0,0,7902,0,0,0,0
2021-11-01T00:00,AW,0,0,24338,0,0,0,0,6564,0,0
2021-11-01T00:00,AX,0,0,0,0,0,0,11358,0,0,0
2021-11-01T00:00,AY,0,0,0,0,0,0,0,0,13773,0
2021-11-01T00:00,AZ,20536,17991,0,0,0,16742,0,0,0,1189
2021-11-01T00:00,Aa,0,0,0,0,0,12854,0,0,0,0
2021-11-01T00:00,Ab,14300,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,Ac,0,3078,0,4874,0,0,0,0,2963,816
2021-11-01T00:00,Ad,18346,0,0,0,0,10862,0,0,9058,0
2021-11-01T00:00,Ae,0,0,0,12769,0,19046,0,0,0,0
2021-11-01T00:00,Af,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,Ag,0,0,0,0,0,0,0,21177,0,0
2021-11-01T00:00,Ah,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,Ai,0,0,0,0,13189,0,0,0,0,0
2021-11-01T00:00,Aj,869,0,17131,0,0,0,0,0,0,0
2021-11-01T00:00,Ak,0,5572,0,0,0,22582,0,4631,0,0
2021-11-01T00:00,Al,4393,0,0,10150,15780,1114,0,7173,0,0
2021-11-01T00:00,Am,5514,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,An,0,1020,0,0,0,0,22202,0,0,0
2021-11-01T00:00,Ao,0,0,0,0,0,16835,0,0,0,0
2021-11-01T00:00,Ap,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,Aq,0,0,11743,0,0,0,0,14054,10857,0
2021-11-01T00:00,Ar,0,0,15083,0,0,14410,0,0,0,0
2021-11-01T00:00,As,0,0,20849,6761,3349,0,7204,0,0,0
2021-11-01T00:00,At,0,0,0,0,0,0,0,16743,0,0
2021-11-01T00:00,Au,28,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,Av,0,0,7949,0,0,0,0,0,0,0
2021-11-01T00:00,Aw,0,0,0,0,0,2891,0,0,0,24142
2021-11-01T00:00,Ax,862,0,12182,1720,3035,0,0,22405,365,0
2021-11-01T00:00,Ay,0,3756,18989,0,18002,0,0,0,0,23726
2021-11-01T00:00,Az,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:00,B1,6686,0,0,0,0,1104,0,0,0,0
2021-11-01T00:00,B2,0,0,0,0,0,0,0,14727,0,0
2021-11-01T00:00,B3,0,0,0,0,0,0,0,0,5886,0
2021-11-01T00:00,B4,0,0,0,9705,0,0,0,9243,0,0
2021-11-01T00:05,B5,0,0,0,2941,0,0,0,0,0,0
2021-11-01T00:05,B6,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:05,B7,0,0,0,16192,0,0,0,0,8500,0
2021-11-01T00:05,B8,0,0,0,0,248,23936,0,0,0,24476
2021-11-01T00:05,B9,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:05,BC,0,14172,13720,0,0,0,0,0,7951,0
2021-11-01T00:05,BD,0,0,0,935,0,13766,0,0,3477,0
2021-11-01T00:05,BE,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:05,BF,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:05,BG,0,0,5694,0,0,0,0,0,0,0
2021-11-01T00:05,BH,0,17568,22543,0,0,0,0,0,0,20861
2021-11-01T00:05,BI,0,0,0,0,0,0,11079,0,0,13082
2021-11-01T00:05,BJ,0,0,0,0,0,0,0,1922,0,0
2021-11-01T00:05,BK,0,0,8777,0,0,0,0,0,0,10014
2021-11-01T00:05,BL,0,0,3429,0,0,0,0,0,0,0
2021-11-01T00:05,BM,0,0,0,0,0,6248,0,0,4177,0
2021-11-01T00:05,BN,5445,14644,0,18583,1425,0,0,24011,0,0
2021-11-01T00:05,BO,0,0,0,0,0,0,0,0,0,22666
2021-11-01T00:05,BP,12861,0,0,0,0,0,5997,20507,0,0
2021-11-01T00:05,BQ,0,0,0,0,0,8398,0,0,0,0
2021-11-01T00:05,BR,0,0,0,0,0,0,0,17959,4356,24212
2021-11-01T00:05,BS,0,0,7264,0,0,0,0,0,14961,0
2021-11-01T00:05,BT,7921,0,0,0,0,0,0,0,20918,12774
2021-11-01T00:05,BU,0,15321,15861,0,0,22188,0,0,0,0
2021-11-01T00:05,BV,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:05,BW,0,7221,0,0,0,0,0,0,0,10451
2021-11-01T00:05,BX,0,0,0,0,11321,657,0,0,0,22541
2021-11-01T00:05,BY,0,0,0,0,0,0,0,0,0,0
2021-11-01T00:05,BZ,23494,0,0,0,0,0,0,0,0,0
